name,latitude,longitude,,,,,,,,
Taman Rahayu,-6.3669203,107.0390323,,,,,,,,
Rawakalong,-6.3715349,106.7120399,,,,,,,,
Ciketingudik,-6.3623077,106.9866433,,,,,,,,
Jembatan Lima,-6.1445905,106.8039276,,,,,,,,
Tanah Baru,-6.3762341,106.8009126,,,,,,,,
Muktiwari,-6.2135083,107.1013104,,,,,,,,
Kelapa Gading Timur,-6.1682935,106.9042145,,,,,,,,
Kebagusan,-6.3103102,106.8312171,,,,,,,,
Keagungan,-6.1507326,106.8145501,,,,,,,,
Kedoya Utara,-6.1685547,106.7609655,,,,,,,,
Karangsatria,-6.2207155,107.0460227,,,,,,,,
Rawa Mekar Jaya,-6.3071581,106.6898966,,,,,,,,
Rengas,-6.2814465,106.7502342,,,,,,,,
Sudimara Selatan,-6.2347199,106.6998128,,,,,,,,
Senen,-6.17644,106.8389595,,,,,,,,
Telagamurni,-6.255531,107.1211107,,,,,,,,
Sarua,-6.3116207,106.7120612,,,,,,,,
Serdang,-6.1592853,106.8613335,,,,,,,,
Gondangdia,-6.1911755,106.8293576,,,,,,,,
Cijengkol,-6.3254077,107.0484573,,,,,,,,
Kramat Jati,-6.2728548,106.8701892,,,,,,,,
Pondok Pucung,-6.2821372,106.7096082,,,,,,,,
Pejuang,-6.1800384,106.9891771,,,,,,,,
Jatinegara,-6.2034543,106.9172456,,,,,,,,
Setiadarma,-6.2634206,107.0577147,,,,,,,,
Lambangjaya,-6.2883026,107.0610341,,,,,,,,
Larangan Indah,-6.2329549,106.731231,,,,,,,,
Baru,-6.3235068,106.8469824,,,,,,,,
Semper Barat,-6.1238539,106.9243509,,,,,,,,
Cikedokan,-6.3336493,107.0888587,,,,,,,,
Kedungpengawas,-6.1557322,107.0275994,,,,,,,,
Jatiwarna,-6.3098164,106.9319108,,,,,,,,
Gandul,-6.3486164,106.7868933,,,,,,,,
Papanggo,-6.129201,106.8721639,,,,,,,,
Pondok Pinang,-6.2736372,106.7789504,,,,,,,,
Jatisari,-6.3392957,106.9452574,,,,,,,,
Mangga Besar,-6.1455551,106.8187154,,,,,,,,
Pela Mampang,-6.2482363,106.8176031,,,,,,,,
Poris Jaya,-6.1745547,106.67547,,,,,,,,
Limo,-6.3652567,106.7699974,,,,,,,,
Jalenjaya,-6.2087401,107.0712803,,,,,,,,
Jelambar,-6.1593443,106.7861493,,,,,,,,
Jati Padang,-6.2872405,106.8305449,,,,,,,,
Benda,-6.1101672,106.6861543,,,,,,,,
Kedoya Selatan,-6.180638,106.7603535,,,,,,,,
Tanjung Mekar,-5.9944971,107.1067465,,,,,,,,
Lengkong Gudang Timur,-6.2928324,106.6851395,,,,,,,,
Kebon Sirih,-6.1850822,106.8311054,,,,,,,,
Sukabumi Selatan,-6.2215483,106.7721536,,,,,,,,
Cipinang Besar Selatan,-6.2290933,106.8800948,,,,,,,,
Slipi,-6.1939108,106.8014346,,,,,,,,
Pantai Harapanjaya,-6.0331433,107.0551006,,,,,,,,
Pinang Ranti,-6.2884275,106.8833312,,,,,,,,
Kebon Kacang,-6.1902407,106.8166009,,,,,,,,
Cibuntu,-6.2825164,107.0759256,,,,,,,,
Pantaimakmur,-6.1001362,106.9838133,,,,,,,,
Karang Timur,-6.2216962,106.7148163,,,,,,,,
Rawamangun,-6.1959278,106.8847253,,,,,,,,
Sukasejati,-6.3537617,107.0912032,,,,,,,,
Jayabakti,-6.0722376,107.1088002,,,,,,,,
Larangan Selatan,-6.2500932,106.7260876,,,,,,,,
Bambu Apus,-6.3131056,106.9009726,,,,,,,,
Bintara,-6.2354818,106.9590778,,,,,,,,
Kosambi Barat,-6.0700162,106.6990677,,,,,,,,
Pusakarakyat,-6.1471167,106.9777675,,,,,,,,
Kenanga,-6.1938781,106.6859049,,,,,,,,
Karet Semanggi,-6.2229244,106.8182629,,,,,,,,
Sunter Jaya,-6.151857,106.8781723,,,,,,,,
Kuningan Barat,-6.2364893,106.8218724,,,,,,,,
Jelambar Baru,-6.1487012,106.7869928,,,,,,,,
Pondok Labu,-6.3087725,106.7978563,,,,,,,,
Rawa Buaya,-6.1616396,106.7375147,,,,,,,,
Ciater,-6.3239544,106.6928339,,,,,,,,
Cipedak,-6.3518261,106.8016288,,,,,,,,
Paninggilan Utara,-6.240346,106.711829,,,,,,,,
Petojo Selatan,-6.1750093,106.816434,,,,,,,,
Benda Baru,-6.3376175,106.7192231,,,,,,,,
Cipinang Muara,-6.2262109,106.8881716,,,,,,,,
Petojo Utara,-6.1655438,106.8153732,,,,,,,,
Menteng,-6.2010459,106.8352111,,,,,,,,
Lubangbuaya,-6.317143,107.0589319,,,,,,,,
Jurang Mangu Barat,-6.2616407,106.731329,,,,,,,,
Pasirgombong,-6.2852265,107.1535209,,,,,,,,
Samudrajaya,-6.1001508,107.0056523,,,,,,,,
Kreo,-6.2349192,106.7400742,,,,,,,,
Kalisari,-6.3345458,106.8529356,,,,,,,,
Margajaya,-6.2549753,106.9938086,,,,,,,,
Rawa Terate,-6.1869376,106.9215512,,,,,,,,
Sukabakti,-6.1606077,107.1269662,,,,,,,,
Petukangan Utara,-6.2296276,106.7510906,,,,,,,,
Bekasi Jaya,-6.2287342,107.01751,,,,,,,,
Mampang Prapatan,-6.2426756,106.8286635,,,,,,,,
Sarimukti,-6.1909985,107.0960653,,,,,,,,
Guntur,-6.2083116,106.8333124,,,,,,,,
Jatiwaringin,-6.2724577,106.9147359,,,,,,,,
Pejaten Timur,-6.2808809,106.8469064,,,,,,,,
Candi Blambongan,-6.0546744,107.1528129,,,,,,,,
Neroktog,-6.2057863,106.6857661,,,,,,,,
Sukamaju,-6.1728813,107.1051881,,,,,,,,
Sumurbatu,-6.348567,107.0089126,,,,,,,,
Pekojan,-6.1369666,106.8040238,,,,,,,,
Serua,-6.3678718,106.7401993,,,,,,,,
Satriamekar,-6.2000734,107.0593579,,,,,,,,
